species,replicate,dose,time,rawod,OD_minimum_of_each_well,od_corrected,OD_zero_mean_of_each_group_replicate_timepoint,od_normalized
KT2440,1,0,13.0,5.517311107,0.021248009,5.4960630980000005,5.4960630980000005,1.0
KT2440,1,0,13.25,5.567509528,0.021248009,5.546261519000001,5.546261519000001,1.0
KT2440,1,0,13.5,5.62129355,0.021248009,5.600045541,5.600045541,1.0
KT2440,1,0,13.75,5.671491971,0.021248009,5.650243962,5.650243962,1.0
KT2440,1,0,14.0,5.698184782,0.021248009,5.676936773,5.676936773,1.0
KT2440,1,0,14.25,5.710003987,0.021248009,5.6887559780000005,5.6887559780000005,1.0
KT2440,1,0,14.5,5.732978397,0.021248009,5.711730388,5.711730388,1.0
KT2440,1,0,14.75,5.751968805,0.021248009,5.730720796,5.730720796,1.0
KT2440,1,0,15.0,5.767904811,0.021248009,5.746656802,5.746656802,1.0
KT2440,1,0,15.25,5.38212065,0.021248009,5.360872641,5.360872641,1.0
KT2440,1,0,15.5,5.713323988,0.021248009,5.692075979,5.692075979,1.0
KT2440,1,0,15.75,5.721557592,0.021248009,5.700309583,5.700309583,1.0
KT2440,1,0,16.0,5.721557592,0.021248009,5.700309583,5.700309583,1.0
KT2440,1,0,16.25,5.710003987,0.021248009,5.6887559780000005,5.6887559780000005,1.0
KT2440,1,0,16.5,5.721557592,0.021248009,5.700309583,5.700309583,1.0
KT2440,1,0,16.75,5.733243997,0.021248009,5.711995988,5.711995988,1.0
KT2440,1,0,17.0,5.725674394,0.021248009,5.7044263850000005,5.7044263850000005,1.0
KT2440,1,0,17.25,5.733376797,0.021248009,5.712128788,5.712128788,1.0
KT2440,1,0,17.5,5.737227998,0.021248009,5.715979989,5.715979989,1.0
KT2440,1,0,17.75,5.748781603,0.021248009,5.7275335940000005,5.7275335940000005,1.0
KT2440,1,0,18.0,5.76418641,0.021248009,5.742938401,5.742938401,1.0
KT2440,1,0,18.25,5.76392081,0.021248009,5.742672801,5.742672801,1.0
KT2440,1,0,18.5,5.76365521,0.021248009,5.742407201,5.742407201,1.0
KT2440,1,0,18.75,5.775474414,0.021248009,5.754226405,5.754226405,1.0
KT2440,1,0,19.0,5.771756013,0.021248009,5.750508004,5.750508004,1.0
KT2440,1,0,19.25,5.775607215,0.021248009,5.754359206,5.754359206,1.0
KT2440,1,0,19.5,5.775607215,0.021248009,5.754359206,5.754359206,1.0
KT2440,1,0,19.75,5.787028019,0.021248009,5.76578001,5.76578001,1.0
KT2440,1,0,20.0,5.783309618,0.021248009,5.762061609,5.762061609,1.0
KT2440,1,0,20.25,5.787028019,0.021248009,5.76578001,5.76578001,1.0
KT2440,1,0,20.5,5.791012021,0.021248009,5.769764012,5.769764012,1.0
KT2440,1,0,20.75,5.783176818,0.021248009,5.7619288090000005,5.7619288090000005,1.0
KT2440,1,0,21.0,5.787028019,0.021248009,5.76578001,5.76578001,1.0
KT2440,1,0,21.25,5.798448824,0.021248009,5.7772008150000005,5.7772008150000005,1.0
KT2440,1,0,21.5,5.794996023,0.021248009,5.773748014000001,5.773748014000001,1.0
KT2440,1,0,21.75,5.767904811,0.021248009,5.746656802,5.746656802,1.0
KT2440,1,0,22.0,5.752367205,0.021248009,5.731119196,5.731119196,1.0
KT2440,1,0,22.25,5.729392795,0.021248009,5.708144786,5.708144786,1.0
KT2440,1,0,22.5,5.71797199,0.021248009,5.696723981,5.696723981,1.0
KT2440,1,0,22.75,5.694997581,0.021248009,5.673749572,5.673749572,1.0
KT2440,1,0,23.0,5.691146379,0.021248009,5.66989837,5.66989837,1.0
KT2440,1,0,23.25,5.679459974,0.021248009,5.6582119650000005,5.6582119650000005,1.0
KT2440,1,0,23.5,5.671491971,0.021248009,5.650243962,5.650243962,1.0
KT2440,1,0,23.75,5.652103163,0.021248009,5.630855154,5.630855154,1.0
KT2440,1,0,24.0,5.652235963,0.021248009,5.630987954,5.630987954,1.0
KT2440,1,0,24.25,5.640815158,0.021248009,5.619567149,5.619567149,1.0
KT2440,1,0,24.5,5.628995953,0.021248009,5.607747944000001,5.607747944000001,1.0
KT2440,1,0,24.75,5.625410352,0.021248009,5.6041623430000005,5.6041623430000005,1.0
KT2440,1,0,25.0,5.606021544,0.021248009,5.584773535,5.584773535,1.0
KT2440,1,0,25.25,5.590616737,0.021248009,5.569368728000001,5.569368728000001,1.0
KT2440,1,0,25.5,5.571095129,0.021248009,5.54984712,5.54984712,1.0
KT2440,1,0,25.75,5.559674324,0.021248009,5.538426315000001,5.538426315000001,1.0
KT2440,1,0,26.0,5.52527911,0.021248009,5.504031101,5.504031101,1.0
KT2440,1,0,26.25,5.47893189,0.021248009,5.457683881,5.457683881,1.0
KT2440,1,0,26.5,5.390487054,0.021248009,5.3692390450000005,5.3692390450000005,1.0
KT2440,1,0,26.75,5.355693439,0.021248009,5.334445430000001,5.334445430000001,1.0
KT2440,1,0,27.0,5.289957411,0.021248009,5.268709402,5.268709402,1.0
KT2440,1,0,27.25,5.197794173,0.021248009,5.176546164,5.176546164,1.0
KT2440,1,0,27.5,5.101514133,0.021248009,5.080266124,5.080266124,1.0
KT2440,1,0,27.75,5.005366893,0.021248009,4.984118884,4.984118884,1.0
KT2440,1,0,28.0,4.920507657,0.021248009,4.899259648,4.899259648,1.0
KT2440,1,0,28.25,4.816392413,0.021248009,4.795144404,4.795144404,1.0
KT2440,1,0,28.5,4.738969981,0.021248009,4.7177219720000005,4.7177219720000005,1.0
KT2440,1,0,28.75,4.719979573,0.021248009,4.698731564,4.698731564,1.0
KT2440,1,0,29.0,4.708425968,0.021248009,4.6871779590000004,4.6871779590000004,1.0
KT2440,1,0,29.25,4.700723565,0.021248009,4.679475556,4.679475556,1.0
KT2440,1,0,29.5,4.685318759,0.021248009,4.6640707500000005,4.6640707500000005,1.0
KT2440,1,0,29.75,4.662344349,0.021248009,4.64109634,4.64109634,1.0
KT2440,1,0,30.0,4.646806743,0.021248009,4.625558734,4.625558734,1.0
KT2440,1,0,30.25,4.635651538,0.021248009,4.6144035290000005,4.6144035290000005,1.0
KT2440,1,0,30.5,4.627683535,0.021248009,4.606435526,4.606435526,1.0
KT2440,1,0,30.75,4.612411528,0.021248009,4.591163519,4.591163519,1.0
KT2440,1,0,31.0,4.59302272,0.021248009,4.571774711,4.571774711,1.0
KT2440,1,0,31.25,4.59302272,0.021248009,4.571774711,4.571774711,1.0
KT2440,1,0,31.5,4.570048311,0.021248009,4.548800302,4.548800302,1.0
KT2440,1,0,31.75,4.566197109,0.021248009,4.5449491,4.5449491,1.0
KT2440,1,0,32.0,4.554643504,0.021248009,4.533395495000001,4.533395495000001,1.0
KT2440,1,0,32.25,4.527685093,0.021248009,4.506437084,4.506437084,1.0
KT2440,1,0,32.5,4.52011549,0.021248009,4.4988674810000004,4.4988674810000004,1.0
KT2440,1,0,32.75,4.508296285,0.021248009,4.487048276,4.487048276,1.0
KT2440,1,0,33.0,4.492758678,0.021248009,4.471510669000001,4.471510669000001,1.0
KT2440,1,0,33.25,4.481736274,0.021248009,4.460488265,4.460488265,1.0
KT2440,1,0,33.5,4.462347465,0.021248009,4.441099456,4.441099456,1.0
KT2440,1,0,33.75,4.443091457,0.021248009,4.421843448000001,4.421843448000001,1.0
KT2440,1,0,34.0,4.431405053,0.021248009,4.410157044,4.410157044,1.0
KT2440,1,0,34.25,4.427686651,0.021248009,4.406438642,4.406438642,1.0
KT2440,1,0,34.5,4.40072824,0.021248009,4.3794802310000005,4.3794802310000005,1.0
KT2440,1,0,34.75,4.393025837,0.021248009,4.371777828,4.371777828,1.0
KT2440,1,0,35.0,4.365934625,0.021248009,4.344686616000001,4.344686616000001,1.0
KT2440,1,0,35.25,4.358099422,0.021248009,4.336851413,4.336851413,1.0
KT2440,1,0,35.5,4.346811417,0.021248009,4.325563408,4.325563408,1.0
KT2440,1,0,35.75,4.323704208,0.021248009,4.302456199,4.302456199,1.0
KT2440,1,0,36.0,4.308299401,0.021248009,4.287051392,4.287051392,1.0
KT2440,1,0,36.25,4.296612996,0.021248009,4.275364987000001,4.275364987000001,1.0
KT2440,1,0,36.5,4.269654585,0.021248009,4.248406576,4.248406576,1.0
KT2440,1,0,36.75,4.273904187,0.021248009,4.2526561780000005,4.2526561780000005,1.0
KT2440,1,0,37.0,4.25876498,0.021248009,4.237516971,4.237516971,1.0
KT2440,1,0,37.25,4.227689767,0.021248009,4.206441758,4.206441758,1.0
KT2440,1,0,37.5,4.216003363,0.021248009,4.194755354,4.194755354,1.0
KT2440,1,0,37.75,4.204449758,0.021248009,4.183201749,4.183201749,1.0
KT2440,1,0,38.0,4.169257743,0.021248009,4.148009734,4.148009734,1.0
KT2440,1,0,38.25,4.153188936,0.021248009,4.1319409270000005,4.1319409270000005,1.0
KT2440,1,0,38.5,4.149868935,0.021248009,4.128620926,4.128620926,1.0
KT2440,1,0,38.75,4.130214527,0.021248009,4.108966518,4.108966518,1.0
KT2440,1,0,39.0,4.106841717,0.021248009,4.085593708,4.085593708,1.0
KT2440,1,0,39.25,4.09143691,0.021248009,4.070188901,4.070188901,1.0
KT2440,1,0,39.5,4.079484905,0.021248009,4.058236896,4.058236896,1.0
KT2440,1,0,39.75,4.052659294,0.021248009,4.031411285,4.031411285,1.0
KT2440,1,0,40.0,4.032606486,0.021248009,4.011358477,4.011358477,1.0
KT2440,2,0,0.0,0.025497611,0.021248009,0.03,0.03,1.0
KT2440,2,0,0.25,0.02509921,0.021248009,0.03,0.03,1.0
KT2440,2,0,0.5,0.02509921,0.021248009,0.03,0.03,1.0
KT2440,2,0,0.75,0.032668814,0.021248009,0.03,0.03,1.0
KT2440,2,0,1.0,0.036652815,0.021248009,0.03,0.03,1.0
KT2440,2,0,1.25,0.04807362,0.021248009,0.03,0.03,1.0
KT2440,2,0,1.5,0.055776023,0.021248009,0.034528013999999996,0.034528013999999996,1.0
KT2440,2,0,1.75,0.056041623,0.021248009,0.034793614,0.034793614,1.0
KT2440,2,0,2.0,0.056041623,0.021248009,0.034793614,0.034793614,1.0
KT2440,2,0,2.25,0.059760025,0.021248009,0.038512015999999996,0.038512015999999996,1.0
KT2440,2,0,2.5,0.067860828,0.021248009,0.046612819,0.046612819,1.0
KT2440,2,0,2.75,0.075032031,0.021248009,0.053784022,0.053784022,1.0
KT2440,2,0,3.0,0.086718436,0.021248009,0.065470427,0.065470427,1.0
KT2440,2,0,3.25,0.098139241,0.021248009,0.076891232,0.076891232,1.0
KT2440,2,0,3.5,0.121246451,0.021248009,0.099998442,0.099998442,1.0
KT2440,2,0,3.75,0.14461926,0.021248009,0.123371251,0.123371251,1.0
KT2440,2,0,4.0,0.186849678,0.021248009,0.16560166899999998,0.16560166899999998,1.0
KT2440,2,0,4.25,0.252320105,0.021248009,0.231072096,0.231072096,1.0
KT2440,2,0,4.5,0.402649768,0.021248009,0.381401759,0.381401759,1.0
KT2440,2,0,4.75,0.76452992,0.021248009,0.743281911,0.743281911,1.0
KT2440,2,0,5.0,1.022693228,0.021248009,1.001445219,1.001445219,1.0
KT2440,2,0,5.25,1.138229276,0.021248009,1.1169812669999999,1.1169812669999999,1.0
KT2440,2,0,5.5,1.207285305,0.021248009,1.186037296,1.186037296,1.0
KT2440,2,0,5.75,1.061205244,0.021248009,1.039957235,1.039957235,1.0
KT2440,2,0,6.0,1.215120508,0.021248009,1.193872499,1.193872499,1.0
KT2440,2,0,6.25,1.307814947,0.021248009,1.286566938,1.286566938,1.0
KT2440,2,0,6.5,1.276872534,0.021248009,1.255624525,1.255624525,1.0
KT2440,2,0,6.75,1.569563856,0.021248009,1.548315847,1.548315847,1.0
KT2440,2,0,7.0,1.715909517,0.021248009,1.694661508,1.694661508,1.0
KT2440,2,0,7.25,1.896783193,0.021248009,1.875535184,1.875535184,1.0
KT2440,2,0,7.5,2.089476074,0.021248009,2.068228065,2.068228065,1.0
KT2440,2,0,7.75,2.208996123,0.021248009,2.187748114,2.187748114,1.0
KT2440,2,0,8.0,2.363044188,0.021248009,2.341796179,2.341796179,1.0
KT2440,2,0,8.25,2.486282639,0.021248009,2.4650346300000003,2.4650346300000003,1.0
KT2440,2,0,8.5,2.709386733,0.021248009,2.6881387240000003,2.6881387240000003,1.0
KT2440,2,0,8.75,2.898095612,0.021248009,2.8768476030000003,2.8768476030000003,1.0
KT2440,2,0,9.0,3.121730905,0.021248009,3.1004828960000004,3.1004828960000004,1.0
KT2440,2,0,9.25,3.341116597,0.021248009,3.3198685880000003,3.3198685880000003,1.0
KT2440,2,0,9.5,3.533809477,0.021248009,3.5125614680000004,3.5125614680000004,1.0
KT2440,2,0,9.75,3.676171137,0.021248009,3.654923128,3.654923128,1.0
KT2440,2,0,10.0,3.880152022,0.021248009,3.858904013,3.858904013,1.0
KT2440,2,0,10.25,4.026497683,0.021248009,4.005249674,4.005249674,1.0
KT2440,2,0,10.5,4.211753761,0.021248009,4.190505752,4.190505752,1.0
KT2440,2,0,10.75,4.381206632,0.021248009,4.359958623,4.359958623,1.0
KT2440,2,0,11.0,4.515865888,0.021248009,4.494617879000001,4.494617879000001,1.0
KT2440,2,0,11.25,4.685185959,0.021248009,4.66393795,4.66393795,1.0
KT2440,2,0,11.5,4.866192434,0.021248009,4.844944425,4.844944425,1.0
KT2440,2,0,11.75,5.486368694,0.021248009,5.4651206850000005,5.4651206850000005,1.0
KT2440,2,0,12.0,5.890877663,0.021248009,5.869629654000001,5.869629654000001,1.0
KT2440,2,0,12.25,5.875340056,0.021248009,5.854092047,5.854092047,1.0
KT2440,2,0,12.5,5.783176818,0.021248009,5.7619288090000005,5.7619288090000005,1.0
KT2440,2,0,12.75,5.751836005,0.021248009,5.730587996000001,5.730587996000001,1.0
KT2440,2,0,13.0,5.463394284,0.021248009,5.442146275,5.442146275,1.0
KT2440,2,0,13.25,5.521295108,0.021248009,5.5000470990000006,5.5000470990000006,1.0
KT2440,2,0,13.5,5.536567115,0.021248009,5.515319106000001,5.515319106000001,1.0
KT2440,2,0,13.75,5.579063132,0.021248009,5.557815123,5.557815123,1.0
KT2440,2,0,14.0,5.613458347,0.021248009,5.592210338,5.592210338,1.0
KT2440,2,0,14.25,5.652235963,0.021248009,5.630987954,5.630987954,1.0
KT2440,2,0,14.5,5.686763977,0.021248009,5.665515968,5.665515968,1.0
KT2440,2,0,14.75,5.725010393,0.021248009,5.703762384,5.703762384,1.0
KT2440,2,0,15.0,5.756351206,0.021248009,5.735103197,5.735103197,1.0
KT2440,2,0,15.25,5.509210303,0.021248009,5.487962294,5.487962294,1.0
KT2440,2,0,15.5,5.71717519,0.021248009,5.695927181,5.695927181,1.0
KT2440,2,0,15.75,5.694599181,0.021248009,5.673351172,5.673351172,1.0
KT2440,2,0,16.0,5.690747979,0.021248009,5.66949997,5.66949997,1.0
KT2440,2,0,16.25,5.690747979,0.021248009,5.66949997,5.66949997,1.0
KT2440,2,0,16.5,5.698450382,0.021248009,5.677202373,5.677202373,1.0
KT2440,2,0,16.75,5.710136787,0.021248009,5.688888778,5.688888778,1.0
KT2440,2,0,17.0,5.714120789,0.021248009,5.69287278,5.69287278,1.0
KT2440,2,0,17.25,5.71797199,0.021248009,5.696723981,5.696723981,1.0
KT2440,2,0,17.5,5.725674394,0.021248009,5.7044263850000005,5.7044263850000005,1.0
KT2440,2,0,17.75,5.733376797,0.021248009,5.712128788,5.712128788,1.0
KT2440,2,0,18.0,5.737227998,0.021248009,5.715979989,5.715979989,1.0
KT2440,2,0,18.25,5.748516003,0.021248009,5.727267994,5.727267994,1.0
KT2440,2,0,18.5,5.752101605,0.021248009,5.730853596,5.730853596,1.0
KT2440,2,0,18.75,5.76392081,0.021248009,5.742672801,5.742672801,1.0
KT2440,2,0,19.0,5.767904811,0.021248009,5.746656802,5.746656802,1.0
KT2440,2,0,19.25,5.767904811,0.021248009,5.746656802,5.746656802,1.0
KT2440,2,0,19.5,5.775607215,0.021248009,5.754359206,5.754359206,1.0
KT2440,2,0,19.75,5.775474414,0.021248009,5.754226405,5.754226405,1.0
KT2440,2,0,20.0,5.783309618,0.021248009,5.762061609,5.762061609,1.0
KT2440,2,0,20.25,5.783176818,0.021248009,5.7619288090000005,5.7619288090000005,1.0
KT2440,2,0,20.5,5.791012021,0.021248009,5.769764012,5.769764012,1.0
KT2440,2,0,20.75,5.790879221,0.021248009,5.769631212,5.769631212,1.0
KT2440,2,0,21.0,5.798581624,0.021248009,5.777333615,5.777333615,1.0
KT2440,2,0,21.25,5.802300026,0.021248009,5.781052017,5.781052017,1.0
KT2440,2,0,21.5,5.814252031,0.021248009,5.793004022,5.793004022,1.0
KT2440,2,0,21.75,5.814119231,0.021248009,5.7928712220000005,5.7928712220000005,1.0
KT2440,2,0,22.0,5.817837632,0.021248009,5.796589623,5.796589623,1.0
KT2440,2,0,22.25,5.817970432,0.021248009,5.796722423,5.796722423,1.0
KT2440,2,0,22.5,5.818103232,0.021248009,5.796855223000001,5.796855223000001,1.0
KT2440,2,0,22.75,5.814384831,0.021248009,5.793136822,5.793136822,1.0
KT2440,2,0,23.0,5.822087234,0.021248009,5.800839225,5.800839225,1.0
KT2440,2,0,23.25,5.814252031,0.021248009,5.793004022,5.793004022,1.0
KT2440,2,0,23.5,5.813986431,0.021248009,5.792738422,5.792738422,1.0
KT2440,2,0,23.75,5.825407235,0.021248009,5.804159226,5.804159226,1.0
KT2440,2,0,24.0,5.821688834,0.021248009,5.800440825,5.800440825,1.0
KT2440,2,0,24.25,5.825672835,0.021248009,5.804424826,5.804424826,1.0
KT2440,2,0,24.5,5.821556034,0.021248009,5.8003080250000005,5.8003080250000005,1.0
KT2440,2,0,24.75,5.829524037,0.021248009,5.808276028,5.808276028,1.0
KT2440,2,0,25.0,5.829391237,0.021248009,5.8081432280000005,5.8081432280000005,1.0
KT2440,2,0,25.25,5.821688834,0.021248009,5.800440825,5.800440825,1.0
KT2440,2,0,25.5,5.821423234,0.021248009,5.800175225,5.800175225,1.0
KT2440,2,0,25.75,5.817704832,0.021248009,5.796456823000001,5.796456823000001,1.0
KT2440,2,0,26.0,5.817970432,0.021248009,5.796722423,5.796722423,1.0
KT2440,2,0,26.25,5.817837632,0.021248009,5.796589623,5.796589623,1.0
KT2440,2,0,26.5,5.825672835,0.021248009,5.804424826,5.804424826,1.0
KT2440,2,0,26.75,5.821688834,0.021248009,5.800440825,5.800440825,1.0
KT2440,2,0,27.0,5.81372083,0.021248009,5.7924728210000005,5.7924728210000005,1.0
KT2440,2,0,27.25,5.813986431,0.021248009,5.792738422,5.792738422,1.0
KT2440,2,0,27.5,5.806284027,0.021248009,5.7850360180000004,5.7850360180000004,1.0
KT2440,2,0,27.75,5.798714424,0.021248009,5.777466415,5.777466415,1.0
KT2440,2,0,28.0,5.798581624,0.021248009,5.777333615,5.777333615,1.0
KT2440,2,0,28.25,5.783044018,0.021248009,5.761796009,5.761796009,1.0
KT2440,2,0,28.5,5.767240811,0.021248009,5.745992802,5.745992802,1.0
KT2440,2,0,28.75,5.767506411,0.021248009,5.7462584020000005,5.7462584020000005,1.0
KT2440,2,0,29.0,5.755952806,0.021248009,5.734704797,5.734704797,1.0
KT2440,2,0,29.25,5.752101605,0.021248009,5.730853596,5.730853596,1.0
KT2440,2,0,29.5,5.725143193,0.021248009,5.703895184,5.703895184,1.0
KT2440,2,0,29.75,5.713722389,0.021248009,5.69247438,5.69247438,1.0
KT2440,2,0,30.0,5.694333581,0.021248009,5.673085572000001,5.673085572000001,1.0
KT2440,2,0,30.25,5.683178376,0.021248009,5.661930367,5.661930367,1.0
KT2440,2,0,30.5,5.682912776,0.021248009,5.661664767,5.661664767,1.0
KT2440,2,0,30.75,5.671491971,0.021248009,5.650243962,5.650243962,1.0
KT2440,2,0,31.0,5.663656768,0.021248009,5.642408759,5.642408759,1.0
KT2440,2,0,31.25,5.652103163,0.021248009,5.630855154,5.630855154,1.0
KT2440,2,0,31.5,5.629128753,0.021248009,5.607880744,5.607880744,1.0
KT2440,2,0,31.75,5.617575148,0.021248009,5.5963271390000005,5.5963271390000005,1.0
KT2440,2,0,32.0,5.613723947,0.021248009,5.592475938000001,5.592475938000001,1.0
KT2440,2,0,32.25,5.606021544,0.021248009,5.584773535,5.584773535,1.0
KT2440,2,0,32.5,5.602303142,0.021248009,5.5810551330000004,5.5810551330000004,1.0
KT2440,2,0,32.75,5.590483937,0.021248009,5.569235928,5.569235928,1.0
KT2440,2,0,33.0,5.574946331,0.021248009,5.553698322,5.553698322,1.0
KT2440,2,0,33.25,5.560072724,0.021248009,5.5388247150000005,5.5388247150000005,1.0
KT2440,2,0,33.5,5.54838632,0.021248009,5.527138311,5.527138311,1.0
KT2440,2,0,33.75,5.521427908,0.021248009,5.500179899,5.500179899,1.0
KT2440,2,0,34.0,5.47893189,0.021248009,5.457683881,5.457683881,1.0
KT2440,2,0,34.25,5.440552674,0.021248009,5.419304665,5.419304665,1.0
KT2440,2,0,34.5,5.38278465,0.021248009,5.361536641,5.361536641,1.0
KT2440,2,0,34.75,5.317314223,0.021248009,5.2960662140000005,5.2960662140000005,1.0
KT2440,2,0,35.0,5.278669407,0.021248009,5.257421398,5.257421398,1.0
KT2440,2,0,35.25,5.216917381,0.021248009,5.195669372,5.195669372,1.0
KT2440,2,0,35.5,5.159414957,0.021248009,5.138166948,5.138166948,1.0
KT2440,2,0,35.75,5.090093328,0.021248009,5.068845319,5.068845319,1.0
KT2440,2,0,36.0,5.005366893,0.021248009,4.984118884,4.984118884,1.0
KT2440,2,0,36.25,4.916656455,0.021248009,4.895408446,4.895408446,1.0
KT2440,2,0,36.5,4.889698044,0.021248009,4.868450035,4.868450035,1.0
KT2440,2,0,36.75,4.83232842,0.021248009,4.811080411,4.811080411,1.0
KT2440,2,0,37.0,4.73631398,0.021248009,4.7150659710000005,4.7150659710000005,1.0
KT2440,2,0,37.25,4.582000316,0.021248009,4.5607523070000004,4.5607523070000004,1.0
KT2440,2,0,37.5,4.574165112,0.021248009,4.552917103,4.552917103,1.0
KT2440,2,0,37.75,4.562611507,0.021248009,4.541363498,4.541363498,1.0
KT2440,2,0,38.0,4.546675501,0.021248009,4.525427492,4.525427492,1.0
KT2440,2,0,38.25,4.538309097,0.021248009,4.517061088,4.517061088,1.0
KT2440,2,0,38.5,4.511881886,0.021248009,4.4906338770000005,4.4906338770000005,1.0
KT2440,2,0,38.75,4.511483486,0.021248009,4.490235477000001,4.490235477000001,1.0
KT2440,2,0,39.0,4.499664281,0.021248009,4.4784162720000005,4.4784162720000005,1.0
KT2440,2,0,39.25,4.488110676,0.021248009,4.466862667,4.466862667,1.0
KT2440,2,0,39.5,4.476158671,0.021248009,4.4549106620000005,4.4549106620000005,1.0
KT2440,2,0,39.75,4.457035463,0.021248009,4.435787454000001,4.435787454000001,1.0
KT2440,2,0,40.0,4.436982655,0.021248009,4.415734646000001,4.415734646000001,1.0
KT2440,3,0,0.0,0.029348812,0.021248009,0.03,0.03,1.0
KT2440,3,0,0.25,0.021248009,0.021248009,0.03,0.03,1.0
KT2440,3,0,0.5,0.021248009,0.021248009,0.03,0.03,1.0
KT2440,3,0,0.75,0.036520015,0.021248009,0.03,0.03,1.0
KT2440,3,0,1.0,0.04820642,0.021248009,0.03,0.03,1.0
KT2440,3,0,1.25,0.04807362,0.021248009,0.03,0.03,1.0
